project_id	sku	canonical_name	short_name	category	what_it_is	who_asks_about_it	common_use_cases	how_to_use_short	what_to_expect_soft	contraindications_short	do_not_claim	when_to_escalate	price_answer_mode	primary_image_url	source_status	notes	source_refs	provenance_status	review_notes	field_provenance
whieda	C002-00	Увлажняющий гель	Увлажняющий гель Fundesee	cosmetics	Увлажняющий гель Fundesee — ежедневный гель для интимной гигиены с мягким слабокислым pH около 5,13, когда обычное мыло сушит или раздражает.	Женщины, которым нужен деликатный ежедневный уход без спирта, резких ароматизаторов и агрессивных ПАВ.	обычное мыло сушит интимную зону; нужен мягкий ежедневный гель; чувствительная кожа; хочется поддерживать комфортную среду без жжения	Наносите небольшое количество на влажную кожу при душе, аккуратно смойте водой. Используйте как обычное средство гигиены, без самодельных «лечебных» схем.	Его выбирают за ощущение мягкости и более деликатного ухода по сравнению с обычным мылом или масс-маркетом.	индивидуальная непереносимость компонентов; выраженное раздражение кожи	Не обещать лечение инфекций, эрозии, бесплодия и других гинекологических диагнозов.	Сильное раздражение; подозрение на инфекцию; вопрос лечения диагноза.	structured_price	https://whieda.sysarch.pro/media/products/C002-00/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee daily gel; n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D011-00 pattern; n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D011-00 pattern + Гигиена_косметика.md; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c002-00-001; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	Fundesee daily gel; confirm final pH wording with owner if needed.	"{""common_use_cases"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D011-00 pattern + Гигиена_косметика.md"", ""contraindications_short"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D011-00 pattern"", ""how_to_use_short"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D011-00 pattern"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c002-00-001"", ""what_it_is"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee daily gel"", ""what_to_expect_soft"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D011-00 pattern"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee daily gel""}"
whieda	C006-00	Омолаживающий спрей с лифтинг эффектом	Лифтинг-спрей Fundesee	cosmetics	Омолаживающий спрей с лифтинг-эффектом — экспресс-уход для лица, который можно наносить даже поверх макияжа, когда нужен быстрый визуальный «сбор» контура.	Женщины, которым нужен быстрый уход без полноценного ритуала из нескольких средств и которые ценят формат спрея в течение дня.	к вечеру лицо выглядит уставшим; нужен быстрый уход перед встречей; не хочется тяжелого крема; хочется освежить кожу поверх макияжа	Распылите на лицо с расстояния 15–20 см по инструкции на упаковке. Не втирайте агрессивно; дайте средству впитаться.	Его ценят за экспресс-формат и ощущение более собранного контура без полноценного домашнего SPA-ритуала.	индивидуальная непереносимость; открытые раны или выраженное воспаление на коже	Не обещать стойкий медицинский лифтинг, удаление морщин как у инъекций или лечение кожных диагнозов.	Сильное раздражение; аллергическая реакция; вопрос лечения дерматологического диагноза.	structured_price	https://whieda.sysarch.pro/media/products/C006-00/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающий спрей; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c006-00-001; package insert not in local corpus; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	Spray distance from package insert if owner wants exact wording.	"{""common_use_cases"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающий спрей"", ""how_to_use_short"": ""needs_owner_review:package insert not in local corpus"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c006-00-001"", ""what_it_is"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающий спрей"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающий спрей"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающий спрей""}"
whieda	C033-00	Омолаживающая маска с лифтинг эффектом	Лифтинг-маска Fundesee	cosmetics	Омолаживающая маска с лифтинг-эффектом из гидролизованного шелка — формат «одно средство вместо нескольких», когда нужен плотный уход за лицом без длинного ритуала.	Женщины, которым нужен заметный уход за контуром лица, увлажнением и более свежим видом кожи без похода в салон.	кожа выглядит уставшей и обезвоженной; нужен лифтинг-эффект перед событием; хочется заменить несколько средств одной маской; темные круги под глазами	Нанесите маску на очищенную кожу лица по инструкции на упаковке, выдержите рекомендованное время и смойте или снимите остатки согласно формату маски.	Её ценят за ощущение более собранного контура, глубокого увлажнения и более свежего вида лица после одного применения.	индивидуальная непереносимость; открытые раны; выраженное воспаление кожи	Не обещать медицинский лифтинг, стойкое удаление морщин или лечение дерматологических диагнозов.	Сильное раздражение; аллергическая реакция; вопрос лечения кожного диагноза.	structured_price	https://whieda.sysarch.pro/media/products/C033-00/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающая маска; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c033-00-001; package insert not in local corpus; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	Confirm exact mask format (rinse-off vs fabric) from package.	"{""common_use_cases"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающая маска"", ""how_to_use_short"": ""needs_owner_review:package insert not in local corpus"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c033-00-001"", ""what_it_is"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающая маска"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающая маска"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Омолаживающая маска""}"
whieda	C061-00	Масло-эссенция Fundesee	Масло-эссенция Fundesee	cosmetics	Масло-эссенция Fundesee — концентрированный этап ухода в линейке Fundesee, который добавляют в ритуал после очищения, когда коже не хватает питания и более плотного увлажнения.	Женщины, которые уже используют или собирают набор Fundesee и хотят усилить увлажнение и ощущение более живой кожи.	кожа стянута после умывания; нужен более насыщенный этап между тоником и кремом; собираете полный набор Fundesee; сухой климат или отопительный сезон	Нанесите несколько капель на очищенную кожу лица и шеи, распределите легкими движениями, затем продолжите обычный уход кремом или эмульсией Fundesee.	Его берут как «усилитель» ритуала: кожа быстрее становится более мягкой и увлажненной, а последующий крем ложится комфортнее.	индивидуальная непереносимость масел; выраженное воспаление или открытые раны	Не обещать лечение акне, розацеа, пигментации или замену дерматологического ухода.	Сильное раздражение; обострение кожного диагноза; вопрос совместимости с лечением.	structured_price	https://whieda.sysarch.pro/media/products/C061-00/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step; n8n/live-exports/structured-master/20260811T172219Z/products.tsv canonical_name + D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c061-00-001; package insert not in local corpus; products.tsv; snapshot=20260811T172219Z; standalone use cases not in local corpus	needs_owner_review	Essence step inferred from Fundesee 6-step set; confirm standalone positioning with owner.	"{""common_use_cases"": ""needs_owner_review:standalone use cases not in local corpus"", ""how_to_use_short"": ""needs_owner_review:package insert not in local corpus"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c061-00-001"", ""what_it_is"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/products.tsv canonical_name + D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step""}"
whieda	C065-00	Подарочный набор косметики Fundesee	Подарочный набор Fundesee	cosmetics	Подарочный набор косметики Fundesee — шестиэтапный SPA-ритуал для лица с очищением, увлажнением, сывороткой, уходом за зоной вокруг глаз и лифтинг-кремом в одной коробке.	Женщины, которые хотят полный премиальный уход «из коробки», и партнёры, которым нужен понятный подарочный формат с сильной визуальной подачей.	нужен готовый подарок с понятной ценностью; хочется собрать полный уход без подбора по отдельности; интересует линейка Fundesee целиком; ищете премиальный домашний SPA	Используйте продукты набора по порядку ежедневного ухода: очищение, эссенция, сыворотка, крем для век, эмульсия и крем-лифтинг — по инструкции на каждом флаконе.	Набор ценят за цельный ритуал и заметное ощущение более увлажненной и «собранной» кожи при регулярном использовании.	индивидуальная непереносимость компонентов; выраженное воспаление кожи	Не обещать клинический лифтинг, стойкое удаление морщин за фиксированный срок или лечение кожных диагнозов.	Сильная аллергическая реакция; вопрос лечения дерматологического диагноза.	structured_price	https://whieda.sysarch.pro/media/products/C065-00/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c065-00-001; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	28-day claim from RAG kept soft; owner may tighten wording.	"{""common_use_cases"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step"", ""how_to_use_short"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-c065-00-001"", ""what_it_is"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Fundesee 6-step""}"
whieda	D004-00	Анионовые прокладки (ежедневные 16 упак)	Анионовые ежедневки	home_wellness	Анионовые прокладки ежедневные (16 упаковок) — тонкие ежедневные прокладки Anion+ из той же линейки, что и бокс D003, для комфорта между циклами.	Женщины, которым нужны более мягкие ежедневные прокладки с тем же подходом Anion+, что и в критические дни, но в формате ежедневной защиты.	обычные ежедневки раздражают; нужен тонкий формат на каждый день; уже нравятся анионовые прокладки D003; чувствительная кожа и важен комфорт	Используйте как обычные ежедневные прокладки по необходимости. Меняйте по комфорту, без самодельных «лечебных» сценариев.	Их выбирают за более приятное ежедневное ощущение, сухость и комфорт по сравнению с типичными прокладками из масс-маркета.	индивидуальная непереносимость компонентов; выраженное раздражение кожи	Не обещать лечение бесплодия, кист, инфекций, геморроя, простатита и других диагнозов.	Сильное раздражение; подозрение на инфекцию; вопрос лечения гинекологического диагноза.	structured_price	https://whieda.sysarch.pro/media/products/D004-00/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	n8n/live-exports/structured-master/20260811T172219Z/aliases.tsv daily pads + D003 pattern; n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D003-00; n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D003-00 + D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Anion+; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-d004-00-001; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	Adapted from approved D003-00 card + Anion+ hygiene block.	"{""common_use_cases"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/aliases.tsv daily pads + D003 pattern"", ""how_to_use_short"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D003-00"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-d004-00-001"", ""what_it_is"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D003-00 + D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Anion+"", ""what_to_expect_soft"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D003-00"", ""who_asks_about_it"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D003-00""}"
whieda	D013-06	Стельки с анионами 45-46	Стельки 45–46	home_wellness	Анионовые стельки размер 45–46 — тот же продукт, что базовые стельки D013, но в конкретном размере для больших стоп, когда нужна поддержка и комфорт при ходьбе.	Люди с размером обуви 45–46, которые много ходят или стоят и уже знакомы с линейкой Health Priority / WHIEDA текстиля.	к вечеру горят стопы; нужен размер 45–46, а не универсальные стельки; тяжесть в пояснице после ходьбы; хочется поддержки стоп в рабочей обуви	Вложите стельки в повседневную или рабочую обувь, при необходимости подрежьте по контуру на обороте. Носите ежедневно как аксессуар комфорта.	Их ценят за сочетание формы, ощущения опоры и меньшей усталости ног к концу длинного дня — по тому же принципу, что и базовые стельки D013.	открытые раны на стопах; мокнущие раны; индивидуальная непереносимость материалов	Не обещать лечение плоскостопия, суставов, варикоза или ортопедическую коррекцию диагноза.	Острая травма стопы; гнойное воспаление; вопрос ортопедического лечения.	structured_price	https://whieda.sysarch.pro/media/products/D013-06/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013; n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013 + products.tsv D013-06; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-d013-06-001; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	Size variant of approved D013 card; size 45–46 from products.tsv.	"{""common_use_cases"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013"", ""how_to_use_short"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-d013-06-001"", ""what_it_is"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013 + products.tsv D013-06"", ""what_to_expect_soft"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013"", ""who_asks_about_it"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/product_cards.tsv D013""}"
whieda	EU-N000014-24	Система для здорового сна 4 в 1	Сон 4-в-1	device	Система для здорового сна 4 в 1 — комплект функционального текстиля Health Priority для сна, когда хочется более глубокого отдыха и меньше ночного дискомфорта без таблеток.	Люди с поверхностным сном, частыми пробуждениями, напряжением в шее и плечах или хронической усталостью, которые ищут мягкий текстильный формат поддержки.	плохо засыпаете или часто просыпаетесь; шея и плечи напряжены к вечеру; хотите комплект для сна, а не одну вещь; уже используете палантин или Health Priority текстиль	Используйте элементы комплекта во сне по инструкции производителя: как подушечный/постельный и аксессуарный набор для зоны сна.	Комплект воспринимают как мягкий ночной ритуал: тело расслабляется легче, сон ощущается более глубоким и восстановительным.	острые воспалительные процессы кожи; индивидуальная непереносимость материалов; кардиостимулятор — уточнить у врача	Не обещать лечение бессонницы, апноэ, депрессии или замену медикаментозной терапии сна.	Хроническая бессонница; апноэ; сильная ночная боль; вопрос лечения диагноза.	structured_price	https://drive.google.com/thumbnail?id=1d1_iQ2g9q5xZBC1lp25dNHMe-kcisqYv&sz=w800	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Очки, анионы.../Выжимка RAW.md#сон 4-в-1; kit-specific scenarios not in local corpus; n8n/live-exports/structured-master/20260811T172219Z/products.tsv + D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Очки, анионы.../Выжимка RAW.md#сон 4-в-1; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-catalog-eu-n000014-24-primary; package insert not in local corpus; products.tsv; snapshot=20260811T172219Z; use cases from general Health Priority textile block	needs_owner_review	Kit composition (4 items) not itemized in local corpus; confirm contents with owner.	"{""common_use_cases"": ""needs_owner_review:kit-specific scenarios not in local corpus"", ""how_to_use_short"": ""needs_owner_review:package insert not in local corpus"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-catalog-eu-n000014-24-primary"", ""what_it_is"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/products.tsv + D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Очки, анионы.../Выжимка RAW.md#сон 4-в-1"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Очки, анионы.../Выжимка RAW.md#сон 4-в-1"", ""who_asks_about_it"": ""needs_owner_review:use cases from general Health Priority textile block""}"
whieda	EU-N000030-25	Зубная паста с экстрактом полыни (new)*6	Зубная паста с полынью	cosmetics	Зубная паста с экстрактом полыни (набор 6 шт) — растительная паста без фтора и SLS, когда важен более мягкий ежедневный уход за полостью рта.	Люди, которые ищут пасту без фтора и агрессивных ПАВ, и семьи, которым нужен понятный набор на несколько месяцев.	обычная паста слишком «химическая»; ищете без фтора; чувствительная слизистая; нужен семейный запас из 6 туб	Чистите зубы как обычной пастой утром и вечером небольшим количеством на щетке. Не глотайте.	Её выбирают за более мягкое очищение и растительный состав без резкого «мыльного» ощущения во рту.	индивидуальная непереносимость компонентов; аллергия на полынь или травы	Не обещать лечение кариеса, пulpita, пародонтита или замену стоматологического лечения.	Острая зубная боль; кровоточивость дёсен; вопрос лечения стоматологического диагноза.	structured_price	https://drive.google.com/thumbnail?id=1NWr9TExdRPhbpWEVUz7Eqn5efO2u6vPm&sz=w800	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Зубная паста; n8n/live-exports/structured-master/20260811T172219Z/aliases.tsv + Гигиена_косметика.md; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-catalog-eu-n000030-25; products.tsv; snapshot=20260811T172219Z; standard hygiene pattern	ready_for_owner_upload	Alias «зубная паста» already in master; card was missing only.	"{""common_use_cases"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/aliases.tsv + Гигиена_косметика.md"", ""how_to_use_short"": ""confirmed:standard hygiene pattern"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-catalog-eu-n000030-25"", ""what_it_is"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Зубная паста"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Зубная паста"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Зубная паста""}"
whieda	EU-N000032-25	Набор растительного красящего шампуня	Красящий шампунь	cosmetics	Набор растительного красящего шампуня — формат с расческой-дозатором для мягкого закрашивания седины без аммиака и агрессивных окислителей.	Люди с седыми прядями, которые хотят обновлять цвет дома без резкого запаха краски и без «убитой» структуры волос.	появилась седина и не хочется салонной химии; нужен домашний формат «расчесал — подождал — смыл»; важен состав без аммиака; хотите поддерживать цвет регулярно	Нанесите шампунь через расческу-дозатор на сухие или слегка влажные волосы по инструкции, выдержите рекомендованное время и смойте.	Его ценят за более мягкое закрашивание и уходовый эффект за счёт растительных компонентов вместо жёсткой салонной химии.	индивидуальная непереносимость; поврежденная кожа головы; аллергия на компоненты краски	Не обещать стойкое salon-окрашивание, лечение алопеции или восстановление волос после химического повреждения.	Сильная аллергическая реакция; ожог кожи головы; вопрос лечения трихологического диагноза.	structured_price	https://whieda.sysarch.pro/media/products/EU-N000032-25/1.jpg	candidate_draft	Candidate draft 2026-08-14. Not uploaded. Owner review required.	D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Растительный красящий шампунь; exact timing from package insert; n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-eu-n000032-25-001; products.tsv; snapshot=20260811T172219Z	ready_for_owner_upload	Confirm exact wait time and color range from package.	"{""common_use_cases"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Растительный красящий шампунь"", ""how_to_use_short"": ""needs_owner_review:exact timing from package insert"", ""primary_image_url"": ""confirmed:n8n/live-exports/structured-master/20260811T172219Z/resources.tsv image-website-eu-n000032-25-001"", ""what_it_is"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Растительный красящий шампунь"", ""what_to_expect_soft"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Растительный красящий шампунь"", ""who_asks_about_it"": ""confirmed:D:/Obsidian/WHIEDA/05_WHIEDA_RAG/Гигиена_косметика.md#Растительный красящий шампунь""}"
