record_id	item_text	role	reason	owner_question
BUNDLE-0003	чип из прокладки	primary	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'чип из прокладки' в BUNDLE-0003?
BUNDLE-0004	минералы	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'минералы' в BUNDLE-0004?
BUNDLE-0006	Коэнзим Q10	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'Коэнзим Q10' в BUNDLE-0006?
BUNDLE-0006	водородная вода	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'водородная вода' в BUNDLE-0006?
BUNDLE-0009	витаминно-минеральный комплекс	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'витаминно-минеральный комплекс' в BUNDLE-0009?
BUNDLE-0010	различные добавки	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'различные добавки' в BUNDLE-0010?
BUNDLE-0014	Детокс Идеал-1	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'Детокс Идеал-1' в BUNDLE-0014?
BUNDLE-0014	Q10	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'Q10' в BUNDLE-0014?
BUNDLE-0014	Витамин D3 (восстановление)	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'Витамин D3 (восстановление)' в BUNDLE-0014?
BUNDLE-0015	прокладки	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'прокладки' в BUNDLE-0015?
BUNDLE-0017	чипы из прокладок	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'чипы из прокладок' в BUNDLE-0017?
BUNDLE-0028	Чип из прокладки Whieda	primary	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'Чип из прокладки Whieda' в BUNDLE-0028?
BUNDLE-0029	витамины	additional	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'витамины' в BUNDLE-0029?
BUNDLE-0030	Эликсиры (состав не детализирован)	primary	нет точного alias/canonical_name match; SKU не угадывался	Что это за позиция 'Эликсиры (состав не детализирован)' в BUNDLE-0030?
