project_id	sku	canonical_name	category	retail_price_rub	retail_w	retail_price_byn	partner_price_rub	partner_w	partner_price_byn	partner_points
whieda	D013	Стельки с анионами		11000	110	385	6500	65	227.5	100
whieda	M015-00	Активатор клеток		50000	500	1750	30000	300	1050	500
whieda	EU-N000024-24	Набор прибора Вэнтун 1.0		200000	2000	7000	150000	1500	5250	1500
whieda	EU-N000021-24	Набор Массажёра Magic Foherb 3.0 (TUV)		65000	650	2275	50000	500	1750	500
whieda	D014	Высокотехнологичные компьютерные очки		5500	55	192.5	2500	25	87.5	50
whieda	M014-00	МИНИСАУНА "БА-ГУА"		68000	680	2380	45000	450	1575	500
whieda	F028-00	Капсулы линчжи ФОХОУ		2000	20	70	1500	15	52.5	15
whieda	T015	Палантин		13500	135	472.5	10000	100	350	100
whieda	F038-00	Низкомолекулярный соевый пептид		5500	55	192.5	3000	30	105	50
whieda	D003-00	Анионовые прокладки (Бокс 19 шт)		7000	70	245	6000	60	210	50
whieda	F001-02	Эликсир Фохоу		3300	33	115.5	2000	20	70	25
whieda	F024-00	Капсулы Сюэчинфу		4500	45	157.5	3500	35	122.5	40
whieda	F034-00	Кофейный напиток с кордицепсом и коллагеном		5000	50	175	4000	40	140	30
whieda	F036-00	Спирулина		7000	70	245	5000	50	175	50
whieda	EU-N000031-25	Активатор клеток PRO (комплект)		65000	650	2275	40000	400	1400	500
whieda	F011-02	Роза Фохоу		1300	13	45.5	800	8	28	10
whieda	C033-00	Омолаживающая маска с лифтинг эффектом		13000	130	455	8000	80	280	100
whieda	D004-00	Анионовые прокладки (ежедневные 16 упак)		7500	75	262.5	6000	60	210	50
whieda	F002-02	Эликсир 3 Драгоценности		3300	33	115.5	2000	20	70	25
whieda	F003-02	Эликсир Саньцин		3300	33	115.5	2000	20	70	25
whieda	EU-N000014-24	Система для здорового сна 4 в 1		200000	2000	7000	150000	1500	5250	1500
whieda	D011-00	Гель очищающий Foherb		3500	35	122.5	2500	25	87.5	25
whieda	D017-00	Водородный стержень (2шт)		5000	50	175	2500	25	87.5	50
whieda	C006-00	Омолаживающий спрей с лифтинг эффектом		5500	55	192.5	3500	35	122.5	20
whieda	T023	Носки Health Priority		6500	65	227.5	4500	45	157.5	20
whieda	C065-00	Подарочный набор косметики Fundesee		33000	330	1155	21000	210	735	250
whieda	F031-00	Чай Лювэй		1300	13	45.5	800	8	28	10
whieda	F071-00	Паста Цинфэн		10000	100	350	7000	70	245	70
whieda	F007-00	Капсулы Железо, Кальций, Цинк, Селен		2000	20	70	1500	15	52.5	15
whieda	D013-06	Стельки с анионами 45-46		11500	115	402.5	7000	70	245	100
whieda	EU-N000030-25	Зубная паста с экстрактом полыни (new)*6		2500	25	87.5	2000	20	70	15
whieda	F087-00	Леденцы со спирулиной (5 шт)		2500	25	87.5	2000	20	70	20
whieda	C061-00	Масло-эссенция Fundesee		7000	70	245	4500	45	157.5	50
whieda	C002-00	Увлажняющий гель		1500	15	52.5	800	8	28	10
whieda	E028-00	Каталог продукции WHIEDA		200	2	7	200	2	7	0
whieda	EU-N000032-25	Набор растительного красящего шампуня 		4500	45	157.5	3500	35	122.5	30
whieda	EU-N000036-26	Подарочный набор косметики Fundesee*2		65000	650	2275	65000	-	-	500
whieda	T003	Магнитный пояс		20000	200	700	20000	-	-	150
whieda	T001	Наколенники		7500	75	262.5	7500	-	-	50
whieda	T002-00	Шейная накладка		7500	75	262.5	7500	-	-	50
