phrase	normalized_phrase	discovery_group	candidate_rank	sku	canonical_name	confidence	status	evidence	source_snapshot_id	notes
эликсир	эликсир	elixir	1	F001-02	Эликсир Фохоу	medium	generic_category	products.tsv Эликсир Фохоу	20260811T172219Z	3-color elixir family
эликсир	эликсир	elixir	2	F003-02	Эликсир Саньцин	medium	generic_category	products.tsv Эликсир Саньцин	20260811T172219Z	3-color elixir family
эликсир	эликсир	elixir	3	F002-02	Эликсир 3 Драгоценности	medium	generic_category	products.tsv Эликсир 3 Драгоценности	20260811T172219Z	3-color elixir family
красный эликсир	красный эликсир	elixir	1	F001-02	Эликсир Фохоу	high	ready_for_core_review	aliases.tsv alias='красный эликсир' -> F001-02; priority=98; match_type=alias; answer_scope=price+description	20260811T172219Z	Release 3.3: цветовой алиас
зелёный эликсир	зеленый эликсир	elixir	1	F003-02	Эликсир Саньцин	high	ready_for_core_review	aliases.tsv alias='зелёный эликсир' -> F003-02; priority=98; match_type=alias; answer_scope=price+description	20260811T172219Z	Release 3.3: цветовой алиас
синий эликсир	синий эликсир	elixir	1	F002-02	Эликсир 3 Драгоценности	high	ready_for_core_review	aliases.tsv alias='синий эликсир' -> F002-02; priority=98; match_type=alias; answer_scope=price+description	20260811T172219Z	Release 3.3: цветовой алиас
активатор	активатор	activator	1	M015-00	Активатор клеток	high	generic_category	aliases.tsv alias='активатор' -> M015-00	20260811T172219Z	intentional ambiguity base+PRO; show_choices — never silent auto-open rank1
активатор	активатор	activator	2	EU-N000031-25	Активатор клеток PRO (комплект)	medium	generic_category	aliases.tsv alias='активатор pro' -> EU-N000031-25	20260811T172219Z	PRO variant in same choice menu
активатор про	активатор про	activator	1	EU-N000031-25	Активатор клеток PRO (комплект)	high	ready_for_core_review	aliases.tsv alias='активатор про' -> EU-N000031-25; priority=95; match_type=alias; answer_scope=price+description	20260811T172219Z	Русская транслитерация PRO
pro	pro	activator	1	EU-N000031-25	Активатор клеток PRO (комплект)	medium	needs_owner_review	aliases.tsv alias='активатор pro' -> EU-N000031-25	20260811T172219Z	short token; may need disambiguation
бэм	бэм	bem_magic	1	EU-N000021-24	Набор Массажёра Magic Foherb 3.0 (TUV)	high	ready_for_core_review	aliases.tsv alias='бэм' -> EU-N000021-24; priority=95; match_type=alias; answer_scope=price+description	20260811T172219Z	Биоэнергомассажер сокращенно
magic	magic	bem_magic	1	EU-N000021-24	Набор Массажёра Magic Foherb 3.0 (TUV)	medium	needs_owner_review	aliases.tsv alias='magic foherb' -> EU-N000021-24	20260811T172219Z	bare token; show_choices per HLR — not direct-safe
массажер	массажер	bem_magic	1	EU-N000021-24	Набор Массажёра Magic Foherb 3.0 (TUV)	medium	needs_owner_review	aliases.tsv alias='массажer magic' -> EU-N000021-24	20260811T172219Z	generic massager word
паста	паста	pasta	1	F071-00	Паста Цинфэн	medium	ready_for_core_review	aliases.tsv паста/цинфэн family	20260811T172219Z	oral care paste vs tooth paste ambiguity
паста	паста	pasta	2	EU-N000030-25	Зубная паста с экстрактом полыни (new)*6	medium	ready_for_core_review	aliases.tsv зубная паста	20260811T172219Z	tooth paste SKU in products.tsv
зубная паста	зубная паста	pasta	1	EU-N000030-25	Зубная паста с экстрактом полыни (new)*6	high	ready_for_core_review	aliases.tsv alias='зубная паста' -> EU-N000030-25; priority=95; match_type=alias; answer_scope=price+description	20260811T172219Z	Общий запрос по зубной пасте
паста с полынью	паста с полынью	pasta	1	EU-N000030-25	Зубная паста с экстрактом полыни (new)*6	medium	ready_for_core_review	aliases.tsv alias='паста с полынью' -> EU-N000030-25; priority=90; match_type=alias; answer_scope=price+description	20260811T172219Z	Короткое название по составу
цинфэн	цинфэн	pasta	1	F071-00	Паста Цинфэн	high	ready_for_core_review	aliases.tsv alias='цинфэн' -> F071-00; priority=100; match_type=alias; answer_scope=price+description	20260811T172219Z	Основной запрос
стельки	стельки	accessories	1	D013	Стельки с анионами	medium	ready_for_core_review	aliases.tsv alias='стельки' -> D013; priority=80; match_type=alias; answer_scope=price+description	20260811T172219Z	Короткий запрос
очки	очки	accessories	1	D014	Высокотехнологичные компьютерные очки	medium	ready_for_core_review	aliases.tsv alias='очки' -> D014; priority=80; match_type=alias; answer_scope=price+description	20260811T172219Z	Короткий запрос
пояс	пояс	accessories	1	T003	Магнитный пояс	low	needs_owner_review	aliases.tsv alias='пояс' -> T003; priority=10; match_type=weak; answer_scope=clarify_only	20260811T172219Z	Release 3.3: одиночное слово требует уточнения
наколенники	наколенники	accessories	1	T001	Наколенники	high	ready_for_core_review	products.tsv canonical_name Наколенники	20260811T172219Z	single SKU in snapshot
шейная накладка	шейная накладка	accessories	1	T002-00	Шейная накладка	high	ready_for_core_review	products.tsv canonical_name Шейная накладка	20260811T172219Z	single SKU in snapshot
косметика	косметика	cosmetics	1	C065-00	Подарочный набор косметики Fundesee	medium	generic_category	products.tsv Fundesee gift/set cosmetics	20260811T172219Z	broad category
косметика	косметика	cosmetics	2	C033-00	Омолаживающая маска с лифтинг эффектом	medium	generic_category	products.tsv маска Fundesee	20260811T172219Z	broad category
косметика	косметика	cosmetics	3	C002-00	Увлажняющий гель	medium	generic_category	products.tsv увлажняющий гель	20260811T172219Z	broad category
маска	маска	cosmetics	1	C033-00	Омолаживающая маска с лифтинг эффектом	high	ready_for_core_review	products.tsv single маска SKU	20260811T172219Z	only one mask SKU in snapshot
