record_id	title	decision	canonical_candidate_id	catalog_mapping	unmapped_items	confidence	reason	source_id	source_locator	raw_quote_ref	safety_signals	owner_question	publication_status
BUNDLE-0001	Общая поддержка животного (профилактика)	archive		M015-00=Активатор клеток;F038-00=Низкомолекулярный соевый пептид;F001-02=Эликсир Фохоу		medium	запись про животное, не человеческий консультант	RAWCHAT-12-ZHIVOTNYE		RAWCHAT-12-ZHIVOTNYE	animal_use	Архивировать ветеринарные BUNDLE-0001/0002 или держать отдельным контуром?	blocked_raw
BUNDLE-0002	Мочекаменная болезнь у кошки	archive		"M015-00=Активатор клеток;M014-00=МИНИСАУНА ""БА-ГУА"";F031-00=Чай Лювэй;F038-00=Низкомолекулярный соевый пептид"		medium	запись про животное, не человеческий консультант	RAWCHAT-12-ZHIVOTNYE		RAWCHAT-12-ZHIVOTNYE	animal_use	Архивировать ветеринарные BUNDLE-0001/0002 или держать отдельным контуром?	blocked_raw
BUNDLE-0003	Постоперационная стоматологическая поддержка (импланты/удаление/флюс)	blocked_claim		M015-00=Активатор клеток;EU-N000030-25=Зубная паста с экстрактом полыни (new)*6	чип из прокладки	high	safety-сигнал из RAW: surgery,abscess	RAWCHAT-14-ZUBY		RAWCHAT-14-ZUBY	surgery,abscess	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0004	Официальная 3-этапная система (РОВ)	duplicate	BUNDLE-0016	F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F024-00=Капсулы Сюэчинфу;F031-00=Чай Лювэй;F011-02=Роза Фохоу;F036-00=Спирулина;F003-02=Эликсир Саньцин;F002-02=Эликсир 3 Драгоценности	минералы	high	тот же смысл, что BUNDLE-0016	RAWCHAT-28-SPRAVOCHNIK		RAWCHAT-28-SPRAVOCHNIK		Оставить каноном BUNDLE-0016 и закрыть BUNDLE-0004?	blocked_raw
BUNDLE-0005	Комплекс при ЛОР-воспалениях (гайморит/тонзиллит/отит)	duplicate	BUNDLE-0017	M015-00=Активатор клеток;F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F031-00=Чай Лювэй;EU-N000021-24=Набор Массажёра Magic Foherb 3.0 (TUV);D014=Высокотехнологичные компьютерные очки		high	тот же смысл, что BUNDLE-0017	RAWCHAT-17-LOR		RAWCHAT-17-LOR		Оставить каноном BUNDLE-0017 и закрыть BUNDLE-0005?	blocked_raw
BUNDLE-0006	Комплексный протокол снижения веса/детокса	needs_source		"M014-00=МИНИСАУНА ""БА-ГУА"";F031-00=Чай Лювэй;F036-00=Спирулина;F007-00=Капсулы Железо, Кальций, Цинк, Селен"	Коэнзим Q10;водородная вода	high	пустой source_locator	RAWCHAT-26-SAUNA		RAWCHAT-26-SAUNA		Есть ли точный locator/цитата для этой записи?	blocked_raw
BUNDLE-0007	Порядок совмещения приборов в один день	duplicate	BUNDLE-0022	"M014-00=МИНИСАУНА ""БА-ГУА"";EU-N000021-24=Набор Массажёра Magic Foherb 3.0 (TUV);M015-00=Активатор клеток;EU-N000024-24=Набор прибора Вэнтун 1.0"		high	тот же смысл, что BUNDLE-0022	RAWCHAT-26-SAUNA		RAWCHAT-26-SAUNA		Оставить каноном BUNDLE-0022 и закрыть BUNDLE-0007?	blocked_raw
BUNDLE-0008	Глаукома-комплекс	blocked_claim		D014=Высокотехнологичные компьютерные очки;M015-00=Активатор клеток;F028-00=Капсулы линчжи ФОХОУ		high	safety-сигнал из RAW: glaucoma	RAWCHAT-13-ZRENIE		RAWCHAT-13-ZRENIE	glaucoma	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0009	Базовая схема Регуляция-Очищение-Восстановление (официальная)	duplicate	BUNDLE-0016	F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F024-00=Капсулы Сюэчинфу;F031-00=Чай Лювэй;F011-02=Роза Фохоу;F036-00=Спирулина;F003-02=Эликсир Саньцин	витаминно-минеральный комплекс	high	тот же смысл, что BUNDLE-0016	RAWCHAT-20-OZDOROVLENIE		RAWCHAT-20-OZDOROVLENIE		Оставить каноном BUNDLE-0016 и закрыть BUNDLE-0009?	blocked_raw
BUNDLE-0010	"Схема ""Реанимация"" (неофициальная, ОСУЖДЕНА руководством)"	blocked_claim		F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ	различные добавки	high	safety-сигнал из RAW: resuscitation,condemned_by_source	RAWCHAT-20-OZDOROVLENIE		RAWCHAT-20-OZDOROVLENIE	resuscitation,condemned_by_source	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0014	Регуляция-Очистка-Восстановление (базовая 3-этапная система)	duplicate	BUNDLE-0016	F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F003-02=Эликсир Саньцин;F031-00=Чай Лювэй;F011-02=Роза Фохоу;F024-00=Капсулы Сюэчинфу;F038-00=Низкомолекулярный соевый пептид;F002-02=Эликсир 3 Драгоценности;F007-00=Капсулы Железо, Кальций, Цинк, Селен;F036-00=Спирулина	Детокс Идеал-1;Q10;Витамин D3 (восстановление)	high	тот же смысл, что BUNDLE-0016	RAWCHAT-28-SPRAVOCHNIK	строки 291-312 и др.	RAWCHAT-28-SPRAVOCHNIK#строки 291-312 и др.		Оставить каноном BUNDLE-0016 и закрыть BUNDLE-0014?	blocked_raw
BUNDLE-0015	Схема РЕАНИМАЦИЯ (тяжёлые/онкологические/хронические/аутоиммунные случаи)	blocked_claim		F003-02=Эликсир Саньцин;F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F007-00=Капсулы Железо, Кальций, Цинк, Селен;F036-00=Спирулина;F031-00=Чай Лювэй;D013=Стельки с анионами;T003=Магнитный пояс;EU-N000021-24=Набор Массажёра Magic Foherb 3.0 (TUV)	прокладки	high	safety-сигнал из RAW: oncology,resuscitation	RAWCHAT-28-SPRAVOCHNIK	строки 1049-1087, 1518-1563, 2369	RAWCHAT-28-SPRAVOCHNIK#строки 1049-1087, 1518-1563, 2369	oncology,resuscitation	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0016	Официальная базовая схема Регуляция-Очистка-Восстановление (версия от 12.12.2025, с точными дозами по дням)	ready_for_owner_review		F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F024-00=Капсулы Сюэчинфу;F031-00=Чай Лювэй;F011-02=Роза Фохоу;F036-00=Спирулина;F003-02=Эликсир Саньцин;F007-00=Капсулы Железо, Кальций, Цинк, Селен;F002-02=Эликсир 3 Драгоценности		medium	SKU сопоставимы, публикация по-прежнему blocked_raw	RAWCHAT-28-SPRAVOCHNIK	строки 2296-2345	RAWCHAT-28-SPRAVOCHNIK#строки 2296-2345		Можно ли ставить в очередь owner-review без публикации?	blocked_raw
BUNDLE-0017	Гайморит / синусит (общий комплекс)	needs_product_mapping		M015-00=Активатор клеток;EU-N000021-24=Набор Массажёра Magic Foherb 3.0 (TUV);F028-00=Капсулы линчжи ФОХОУ;F001-02=Эликсир Фохоу;F031-00=Чай Лювэй;F038-00=Низкомолекулярный соевый пептид;F036-00=Спирулина	чипы из прокладок	medium	есть позиции без уверенного SKU	RAWCHAT-17-LOR	строки 4356-4375	RAWCHAT-17-LOR#строки 4356-4375		Какой SKU у неясных позиций, или выкинуть их из набора?	blocked_raw
BUNDLE-0018	Аденоиды у ребёнка (альтернатива операции)	blocked_claim		EU-N000021-24=Набор Массажёра Magic Foherb 3.0 (TUV);M015-00=Активатор клеток;F028-00=Капсулы линчжи ФОХОУ;F036-00=Спирулина		high	safety-сигнал из RAW: oncology,surgery,children	RAWCHAT-17-LOR	строка 2103	RAWCHAT-17-LOR#строка 2103	oncology,surgery,children	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
