id,title,medical,was_public_before_26_09,reason
insoles-1,"Боль в пятке прошла за неделю",true,false,"словарь"
insoles-2,"Судороги прекратились за 15 минут",true,false,"словарь"
insoles-3,"Колени перестали болеть",true,false,"словарь"
insoles-4,"Единственные стельки, в которых комфортно",true,true,"словарь"
insoles-5,"Колени не болят на протезах",true,false,"словарь"
insoles-6,"Спина перестала болеть",true,false,"словарь"
insoles-7,"Стройка, колени и стельки",true,false,"словарь"
insoles-8,"Ходить стало легче",true,false,"словарь"
insoles-9,"Ноги не устают к вечеру",false,true,""
insoles-10,"Мозоли исчезли",true,false,"словарь"
insoles-11,"Отёки после травмы ушли",true,false,"словарь"
insoles-12,"Снова ношу каблуки",false,true,""
insoles-13,"Судороги и отёчность прошли",true,false,"словарь"
insoles-14,"Холка на шее уменьшилась",true,false,"словарь"
insoles-15,"Судороги прекратились, спине легче",true,false,"словарь"
insoles-16,"14 часов на ногах — и не устаю",false,true,""
insoles-17,"Полгода в стельках — самочувствие лучше",true,false,"словарь"
insoles-18,"Ноги не устают, хожу с удовольствием",false,true,""
insoles-19,"Через месяц хожу свободно",true,false,"словарь"
insoles-20,"Боль в пятке прошла, отёки ушли",true,false,"словарь"
insoles-21,"Стельки и паста с полынью",false,true,""
insoles-22,"Костыли стали не нужны",true,false,"словарь"
insoles-23,"Ноги лёгкие по вечерам",true,true,"словарь"
insoles-24,"Походка выровнялась у ребёнка",true,false,"словарь"
insoles-25,"Маме 83 года — ходит без тросточек",true,false,"словарь"
insoles-26,"Ношу с января — ходить легко",false,true,""
insoles-27,"30 лет — и копчик перестал болеть",true,false,"словарь"
insoles-28,"Сил стало намного больше",false,true,""
activator-1,"Скованность по утрам прошла",true,false,"словарь"
activator-2,"Уплотнения под кожей уменьшились",true,false,"словарь"
activator-3,"Контур лица подтянулся",false,true,""
activator-4,"Появилось больше энергии",false,true,""
activator-5,"Герпес прошёл и не возвращается",true,false,"словарь"
activator-6,"Кожа чистая",true,false,"словарь"
activator-7,"Рука двигается свободно за три дня",true,false,"словарь"
activator-8,"Обезболивающие больше не нужны",true,false,"словарь"
activator-9,"Рука восстановилась за несколько дней",true,false,"словарь"
activator-10,"Спина, шея и заодно лицо",false,true,""
activator-11,"Боль ушла за один вечер",true,false,"словарь"
activator-12,"Дыхание открылось",true,false,"словарь"
activator-13,"Боль между лопатками ушла за три раза",true,false,"словарь"
activator-14,"Танцевала весь выпускной",true,false,"словарь"
activator-15,"Кожа на шее очистилась",true,false,"словарь"
activator-16,"Простуда прошла за 4 дня",true,false,"словарь"
activator-17,"В 71 год колени не болят",true,false,"словарь"
glasses-1,"Глаза не устают после долгого экрана",true,true,"словарь"
glasses-2,"Головные боли прошли",true,false,"словарь"
glasses-3,"С +3.5 до +3 за полгода",true,false,"словарь"
glasses-4,"Отёк у ребёнка ушёл за пару часов",true,false,"словарь"
glasses-5,"Зрение немного улучшилось",true,false,"словарь"
glasses-6,"Работают как волшебный ободок",true,false,"словарь"
glasses-7,"Двоение прошло, вижу чётче",true,false,"словарь"
glasses-8,"Слезотечение проходит за 15 минут",true,false,"словарь"
glasses-9,"Головная боль стала редкостью",true,false,"словарь"
glasses-10,"Маме 78 — слезотечение прошло",true,false,"словарь"
glasses-11,"С +2 до +1.5 за полгода",true,false,"словарь"
glasses-12,"Головокружения прошли в 65 лет",true,false,"словарь"
glasses-13,"Мушки перед глазами прошли",true,false,"словарь"
glasses-14,"Сухость глаз прошла",true,false,"словарь"
glasses-15,"Насморк и горло прошли за 3 дня",true,false,"словарь"
glasses-16,"Сын за телефоном — глаза отдыхают",false,true,""
glasses-17,"Капли и спрей убрала",true,false,"словарь"
glasses-18,"Врач: впечатлена результатом",true,false,"словарь"
glasses-19,"Головные боли прошли годами мучившие",true,false,"словарь"
glasses-20,"Ребёнок стал дышать свободно",true,false,"словарь"
glasses-21,"Слёзы прошли, зрение чётче",true,false,"словарь"
glasses-23,"Реакция на арахис",true,false,"словарь"
glasses-22,"Четыре месяца в очках — глаза не устают",false,true,""
wentong-1,"Боль в бедре прошла, дышать легче",true,false,"словарь"
wentong-2,"Сон стал крепче",false,true,""
wentong-3,"Стопы и спина перестали болеть",true,false,"словарь"
wentong-4,"Рука двигается на 90%",true,false,"словарь"
wentong-5,"Снова хожу в бассейн",false,true,""
wentong-6,"В 53 года — больше энергии",false,true,""
wentong-7,"Ушли 7 кг, одышка пропала",true,false,"словарь"
wentong-8,"Настроение улучшилось за 5 сеансов",false,true,""
wentong-9,"Волосы стали гуще и потемнели",true,false,"словарь"
pads-1,"Синяк прошёл быстрее обычного",true,false,"словарь"
pads-2,"Комфортно, нет запаха",false,true,""
pads-3,"Бородавка исчезла за 2 недели",true,false,"словарь"
pads-4,"Обошлись без операции",true,false,"словарь"
pads-5,"Мозоль ушла за 2 дня",true,false,"словарь"
pads-6,"Дочь и мама — обе довольны",true,false,"словарь"
pads-7,"Рассечённая бровь зажила без врача",true,false,"словарь"
pads-8,"Мужской отзыв: результат держится полгода",true,false,"manual (спорный)"
pads-9,"«Волшебные наколенники»",true,false,"словарь"
pads-10,"Через месяц боли нигде нет",true,false,"словарь"
pads-11,"Тепло помогло уснуть",true,false,"словарь"
pads-12,"Живу нормально уже 8 месяцев",true,false,"словарь"
pads-13,"После 3 родов — наконец комфортно",false,true,""
bem-1,"Лёгкость с одного сеанса",false,true,""
bem-2,"Утром бодрячком, ничего не болит",true,false,"словарь"
bem-3,"То, чего не могла 30 лет",true,false,"словарь"
bem-4,"Родственники не поверили",true,false,"словарь"
bem-5,"Боли, отёки, головные боли — всё ушло",true,false,"словарь"
bem-6,"Про операцию забыли",true,false,"словарь"
bem-7,"Дёсны перестали кровоточить",true,false,"словарь"
bem-8,"Бабушке 88 — спала крепким сном",true,false,"словарь"
