asset_id,layer,title,path,format,records_or_lines,source_kind,publication_state,review_state,provenance_state,user_visible,notes
DIST-00-SOURCE-REGISTER,distillate,Source register,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/00_SOURCE_REGISTER.tsv,tsv,30,distillate_corpus,local_only,ok,derived_from_raw,no,header_cols=17; target=operator / owner
DIST-01-QUESTIONS,distillate,Question corpus,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/01_QUESTIONS.tsv,tsv,337,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=23; target=SQL canonical / smoke / RAG routing
DIST-02-ALIASES,distillate,Product aliases,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/02_ALIASES.tsv,tsv,64,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=20; target=SQL advisor_structured_aliases
DIST-03-FAQ,distillate,Business FAQ candidates,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/03_SQL_FAQ_CANDIDATES.tsv,tsv,35,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=26; target=SQL advisor_structured_business_faq
DIST-04-CLARIFICATION,distillate,Clarification rules,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/04_CLARIFICATION_RULES.tsv,tsv,24,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=20; target=SQL advisor_structured_clarification_prompts
DIST-05-OBJECTIONS,distillate,Objections,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/05_OBJECTIONS.tsv,tsv,37,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=23; target=SQL advisor_structured_business_objections + coach
DIST-06-USAGE,distillate,Usage patterns,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/06_USAGE_PATTERNS.tsv,tsv,156,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=25; target=review → card detail / coach (не auto)
DIST-07-TESTIMONIALS,testimonials,Testimonials,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/07_TESTIMONIALS.tsv,tsv,73,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=28; target=marketing / owner-approved snippets only
DIST-08-PROBLEM-SOLUTION,distillate,Problem → Solution,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/08_PROBLEM_SOLUTION_CANDIDATES.tsv,tsv,59,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=23; target=SQL routing / coach / bundles
DIST-09-BUNDLES,bundles,Bundle candidates,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/09_BUNDLE_CANDIDATES.tsv,tsv,25,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=26; target=starter basket / cart suggestions
DIST-10-MEDICAL,medical,Medical review queue,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/10_MEDICAL_REVIEW_QUEUE.tsv,tsv,109,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=22; target=doctor review only
DIST-11-MARKETING,marketing,Marketing language,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/11_MARKETING_LANGUAGE.tsv,tsv,31,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=20; target=business review → cards / FAQ
DIST-12-RESOURCES,media,Resource links,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/12_RESOURCE_LINKS.tsv,tsv,37,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=23; target=SQL advisor_structured_resources
DIST-13-SMOKE,qa,Distillate smoke cases,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/13_SMOKE_CASES.tsv,tsv,83,distillate_corpus,local_only,ok,derived_from_raw,no,header_cols=24; target=qa parity / acceptance (не runtime)
DIST-14-GAPS,distillate,Knowledge gaps,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/14_KNOWLEDGE_GAPS.tsv,tsv,34,distillate_corpus,local_only,review_required,derived_from_raw,no,header_cols=21; target=SQL gap prompts / operator queue
DIST-15-SAFETY,safety,Safety signals,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/15_SAFETY_SIGNALS.tsv,tsv,56,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=26; target=doctor review → safety clarifications
DIST-16-BELIEFS,distillate,Community beliefs,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/16_COMMUNITY_BELIEFS.tsv,tsv,3,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=24; target=business + medical review
DIST-17-CONTRADICTIONS,distillate,Contradictions,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/17_CONTRADICTIONS.tsv,tsv,4,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=25; target=owner / doctor resolution
DIST-18-FLOWS,distillate,Dialogue flows,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/18_DIALOGUE_FLOWS.tsv,tsv,29,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=25; target=engine routing / coach
DIST-QUARANTINE,distillate,Corpus quarantine log,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/CORPUS_REPAIR_QUARANTINE.tsv,tsv,132,distillate_corpus,local_only,blocked_raw,derived_from_raw,no,header_cols=5; target=operator audit only
DIST-VALIDATION-ERRORS,qa,Validation errors log,RAG/1 компиляция. диалоги с врачами/2_SQL_корпус_из_RAW/CORPUS_VALIDATION_ERRORS.tsv,tsv,0,distillate_corpus,local_only,ok,derived_from_raw,no,header_cols=5; target=operator / QA
