alias	canonical_sku	canonical_name
alias-1	SKU-002	Product 2
alias-2	SKU-003	Product 3
alias-3	SKU-004	Product 4
alias-4	SKU-005	Product 5
alias-5	SKU-006	Product 6
alias-6	SKU-007	Product 7
alias-7	SKU-008	Product 8
alias-8	SKU-009	Product 9
alias-9	SKU-010	Product 10
alias-10	SKU-011	Product 11
alias-11	SKU-012	Product 12
alias-12	SKU-013	Product 13
alias-13	SKU-014	Product 14
alias-14	SKU-015	Product 15
alias-15	SKU-016	Product 16
alias-16	SKU-017	Product 17
alias-17	SKU-018	Product 18
alias-18	SKU-019	Product 19
alias-19	SKU-020	Product 20
alias-20	SKU-001	Product 1
alias-21	SKU-002	Product 2
alias-22	SKU-003	Product 3
alias-23	SKU-004	Product 4
alias-24	SKU-005	Product 5
alias-25	SKU-006	Product 6
alias-26	SKU-007	Product 7
alias-27	SKU-008	Product 8
alias-28	SKU-009	Product 9
alias-29	SKU-010	Product 10
alias-30	SKU-011	Product 11
alias-31	SKU-012	Product 12
alias-32	SKU-013	Product 13
alias-33	SKU-014	Product 14
alias-34	SKU-015	Product 15
alias-35	SKU-016	Product 16
alias-36	SKU-017	Product 17
alias-37	SKU-018	Product 18
alias-38	SKU-019	Product 19
alias-39	SKU-020	Product 20
alias-40	SKU-001	Product 1
alias-41	SKU-002	Product 2
alias-42	SKU-003	Product 3
alias-43	SKU-004	Product 4
alias-44	SKU-005	Product 5
alias-45	SKU-006	Product 6
alias-46	SKU-007	Product 7
alias-47	SKU-008	Product 8
alias-48	SKU-009	Product 9
alias-49	SKU-010	Product 10
alias-50	SKU-011	Product 11
alias-51	SKU-012	Product 12
alias-52	SKU-013	Product 13
alias-53	SKU-014	Product 14
alias-54	SKU-015	Product 15
alias-55	SKU-016	Product 16
alias-56	SKU-017	Product 17
alias-57	SKU-018	Product 18
alias-58	SKU-019	Product 19
alias-59	SKU-020	Product 20
alias-60	SKU-001	Product 1
