record_id	название_ситуации	основной_запрос	основной_товар	доп_товары	логика_связки	порядок_применения	примеры	число_повторений	ограничения	ожидаемый_результат	нужен_врач	нужен_лидер	source_id	статус	source_locator	raw_quote	message_date	author_role	authority_level	extraction_pass	publication_status	medical_review_required	business_review_required	owner_approved	block_reason
BUNDLE-0001	Общая поддержка животного (профилактика)	общий запрос про применение продукции на питомце	Активатор клеток	Соевые пептиды, Элексир Фохоу	базовый набор, используется большинством партнёров как стартовый	обдувание регулярно + пептиды/элексир внутрь понемногу	строки 85, 272, 447 и др.	3+	нет официальных дозировок для животных	положительные отзывы по ЖКТ/шерсти/общему состоянию	да	нет	RAWCHAT-12-ZHIVOTNYE	кандидат, не подтверждён				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0002	Мочекаменная болезнь у кошки	мочекаменная болезнь	Активатор клеток	Сауна БА-ГУА, Чай Лювэй, Пептиды	поддержка при уже начатом вет.лечении	обдувание + сауна + чай в корм + пептиды сухими	строки 401-411	1	только при параллельном вет.наблюдении	неполное, наблюдение продолжается	да	нет	RAWCHAT-12-ZHIVOTNYE	кандидат, не подтверждён				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0003	Постоперационная стоматологическая поддержка (импланты/удаление/флюс)	что делать после стоматологической операции	чип из прокладки	Активатор клеток (после периода ожидания), зубная паста местно	компресс сразу, устройство — после паузы, паста — точечно на область	чип сразу → период ожидания (от 3 дней до месяца по разным свидетельствам) → активатор осторожно → паста на область	строки 729-730, 1879, 2068, 2073-2074	4+	нет единого протокола длительности ожидания	снижение отёка/боли (неподтверждено клинически)	да	нет	RAWCHAT-14-ZUBY	кандидат, требует стандартизации и мед.проверки				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0004	Официальная 3-этапная система (РОВ)	общий запрос об оздоровлении/схеме приёма	Эликсир Фохоу	Линчжи, Сюэчинфу, Чай Лювей, Паста Роза, Спирулина, Саньцин, минералы, Три Драгоценности	последовательность этапов регуляция→очистка→восстановление	см. официальную схему (строки 2296-2345)	несколько версий конспекта от разных партнёров + 1 официальный пост	>5 версий этой схемы встречается в источнике	дозы должны подбираться индивидуально, есть официальный пересмотр в сторону увеличения	эффект дан не сразу, курс 3 месяца	да	нет	RAWCHAT-28-SPRAVOCHNIK	частично официальный — базовая версия есть, но много неофициальных вариаций от партнёров, нужна унификация				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0005	Комплекс при ЛОР-воспалениях (гайморит/тонзиллит/отит)	воспаление в ЛОР-органах	Активатор клеток	Элексир Фохоу, Линчжи, Чай Лювей, БЭМ-лазер, очки	"базовый набор ""на всё"", применяется почти при любой ЛОР-жалобе"	обдувание + приём внутрь + капли в нос + ношение очков, порядок не стандартизирован	строки 107,330,349,594,748,948,960,4217	20+	нет единого протокола, нет данных о совместимости всех компонентов	положительные отзывы преимущественно субъективные	да	нет	RAWCHAT-17-LOR	кандидат, не подтверждён				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0006	Комплексный протокол снижения веса/детокса	хочу похудеть/детокс с помощью продукции	Сауна БА-ГУА	Чай Лювэй, Спирулина, Коэнзим Q10, Кальций, водородная вода	сауна усиливает потоотделение, БАДы поддерживают минеральный баланс и метаболизм	пить воду до/во время/после, БАДы по расписанию, сауна 2-3 раза в неделю	строки 1470-1519, 1698-1719	>3	нет единого протокола, дозировки различаются у разных партнёров	снижение веса, улучшение самочувствия	нет	да	RAWCHAT-26-SAUNA	кандидат, не подтверждён официально				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0007	Порядок совмещения приборов в один день	можно ли сауну с БЭМ/активатором в один день	Сауна БА-ГУА	БЭМ, Активатор, Вентун	заявлена официальная рекомендация 'доктора Газнели': можно сауна-БЭМ, сауна-активатор, активатор-БЭМ; но с Вентуном в тот же день ничего больше нельзя	пить 2 стакана воды перед каждым прибором, активатор 15мин работа/15мин отдых, после — эликсир Фохоу	строки 2975-2998	1 (подробное сообщение с претензией на официальность)	не указано в источнике, кто именно 'доктор Газнели' и является ли это официальным документом	комплексное оздоровление	нет	да	RAWCHAT-26-SAUNA	требует проверки — заявлено как рекомендация врача, но статус документа не ясен				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0008	Глаукома-комплекс	глаукома с сохранением назначенного лечения	Графеновые очки	Активатор клеток, Линчжи	поддержка при обязательном сохранении капель от врача	очки постоянно + активатор вокруг глаз + линчжи внутрь, капли не отменять	строка 552-572	3+	капли не отменять — единственная чётко зафиксированная официальная оговорка в этой теме	смешанные	да	нет	RAWCHAT-13-ZRENIE	кандидат — единственный бандл с явной корректной мед.оговоркой, использовать как образец				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0009	Базовая схема Регуляция-Очищение-Восстановление (официальная)	общий запрос на оздоровление / детокс	Эликсир Фохоу	Линчжи, Сюэчинфу, Чай Лювэй, Паста Роза, Спирулина, Эликсир Саньцин, витаминно-минеральный комплекс	3-месячная последовательная программа: 1 мес регуляция, 2 мес очищение, 3 мес восстановление	подробная схема доз и времени приёма в источнике (строки 4259-4308)	строки 4259-4308, множество упоминаний по всему источнику	30+	официальная схема, но неофициально распространяется только в чате, не всегда единообразно пересказывается	общее оздоровление	нет	нет	RAWCHAT-20-OZDOROVLENIE	кандидат — рекомендуется как основа для официальной SQL FAQ карточки				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
BUNDLE-0010	"Схема ""Реанимация"" (неофициальная, ОСУЖДЕНА руководством)"	тяжёлые/терминальные диагнозы	Эликсир Фохоу	Линчжи, различные добавки	интенсивная неофициальная многомесячная схема для тяжёлых случаев	официально осуждена Нодаром Газнели как опасная самодеятельность, вводящая в заблуждение	строки 665-682, 3892, 3007	4+	противоречит официальной позиции компании — не 'нет данных', а прямой запрет	неопределённый, целители-энтузиасты обещают многое	да	нет	RAWCHAT-20-OZDOROVLENIE	НЕ рекомендовать, зафиксировать как анти-паттерн с официальной цитатой руководства				unknown	unknown	legacy_pre_pass005	blocked_raw	да	да	нет	миграция PASS_005: требует provenance-ревью перед публикацией
