project_id	bundle_id	bundle_name	aliases	sku_groups	component_names	primary_pain	desired_outcome	positioning	do_not_claim	price_mode	active	priority	notes
whieda	bundle_energy_immunity	Батарейка на 100% и Железный Иммунитет	энергия; иммунитет; усталость; туман в голове; часто болею; батарейка; железный иммунитет	F001-02|F002-02;F028-00	Эликсир Фохоу или Эликсир 3 Драгоценности; Капсулы линчжи ФОХОУ	Просыпаюсь уже уставшим, сил нет ни на что, постоянно цепляю вирусы, туман в голове, память подводит.	Хочется больше энергии в течение дня, яснее голову и поддержку иммунитета без ощущения, что живешь на кофе.	Готовое решение под усталость и иммунную поддержку: эликсир как быстрый формат + линчжи как поддержка ресурса.	Не обещать лечение онкологии, эпилепсии, болезни Альцгеймера; не заменять назначения врача; 3 Драгоценности не рекомендовать детям, беременным и кормящим без контроля.	component_list_with_totals	TRUE	100	F001-02 и F002-02 являются альтернативами: показывать вариант с одним из эликсиров + линчжи.
whieda	bundle_vessels_belly	Чистые Сосуды и Легкий Живот	сосуды; живот; давление; вздутие; аллергии; кровь; кишечник; легкий живот; чистые сосуды	F024-00;F003-02;F011-02	Капсулы Сюэчинфу; Эликсир Саньцин; Роза Фохоу	Скачет давление, тяжесть в животе после еды, вздутие, аллергии, ощущение густой крови и общей тяжести.	Хочется больше легкости в теле, спокойнее живот, понятный комплекс для сосудистой и пищеварительной поддержки.	Решение под запрос “сосуды + живот”: Сюэчинфу как сосудистая часть, Саньцин как очищающий формат, Роза как поддержка кишечной среды.	Не обещать отказ от назначенных препаратов; не обещать лечение давления, тромбов, кровотечений; Сюэчинфу не применять при активных желудочных/легочных кровотечениях, после операций, во время менструации.	component_list_with_totals	TRUE	95	Единого SKU нет, показывать продукты отдельно и итоговую сумму.
whieda	bundle_shape_recovery	Стройность, Рельеф и Восстановление	стройность; рельеф; восстановление; похудение; сладкое; аппетит; вес; протеин; пептид; кофе	F038-00;F034-00	Низкомолекулярный соевый пептид; Кофейный напиток с кордицепсом и коллагеном	Лишний вес не уходит, мышцы дряблые, тянет на сладкое, после диет упадок сил и откаты.	Хочется подтянутое тело, больше контроля аппетита и восстановление без ощущения, что себя ломают диетой.	Решение под форму тела и восстановление: соевый пептид + кофе с кордицепсом/коллагеном как поддержка режима.	Не обещать чудесное похудение без питания и движения; не называть волшебной таблеткой; осторожно при тяжелых заболеваниях ЖКТ и эндокринной системы.	component_list_with_totals	TRUE	90	Комплексный белковый протеин исключен: сейчас не продается.
whieda	bundle_raw_0001	Общая поддержка животного (профилактика)	общий запрос про применение продукции на питомце;Общая поддержка животного (профилактика);Активатор клеток	M015-00;F038-00;F001-02	Активатор клеток; Соевые пептиды, Элексир Фохоу	общий запрос про применение продукции на питомце	положительные отзывы по ЖКТ/шерсти/общему состоянию	базовый набор, используется большинством партнёров как стартовый	нет официальных дозировок для животных	component_list_with_totals	TRUE	80	RAW=BUNDLE-0001; RAWCHAT-12-ZHIVOTNYE
whieda	bundle_raw_0002	Мочекаменная болезнь у кошки	мочекаменная болезнь;Мочекаменная болезнь у кошки;Активатор клеток	M015-00;M014-00;F031-00;F038-00	Активатор клеток; Сауна БА-ГУА, Чай Лювэй, Пептиды	мочекаменная болезнь	неполное, наблюдение продолжается	поддержка при уже начатом вет.лечении	только при параллельном вет.наблюдении	component_list_with_totals	TRUE	79	RAW=BUNDLE-0002; RAWCHAT-12-ZHIVOTNYE
whieda	bundle_raw_0003	Постоперационная стоматологическая поддержка (импланты/удаление/флюс)	что делать после стоматологической операции;Постоперационная стоматологическая поддержка (импланты/удаление/флюс);чип из прокладки	M015-00;EU-N000030-25	чип из прокладки; Активатор клеток (после периода ожидания), зубная паста местно	что делать после стоматологической операции	снижение отёка/боли (неподтверждено клинически)	компресс сразу, устройство — после паузы, паста — точечно на область	нет единого протокола длительности ожидания	component_list_with_totals	TRUE	78	RAW=BUNDLE-0003; RAWCHAT-14-ZUBY
whieda	bundle_raw_0004	Официальная 3-этапная система (РОВ)	общий запрос об оздоровлении/схеме приёма;Официальная 3-этапная система (РОВ);Эликсир Фохоу	F001-02;F028-00;F024-00;F031-00;F011-02;F036-00;F003-02;F002-02	Эликсир Фохоу; Линчжи, Сюэчинфу, Чай Лювей, Паста Роза, Спирулина, Саньцин, минералы, Три Драгоценности	общий запрос об оздоровлении/схеме приёма	эффект дан не сразу, курс 3 месяца	последовательность этапов регуляция→очистка→восстановление	дозы должны подбираться индивидуально, есть официальный пересмотр в сторону увеличения	component_list_with_totals	TRUE	77	RAW=BUNDLE-0004; RAWCHAT-28-SPRAVOCHNIK
whieda	bundle_raw_0005	Комплекс при ЛОР-воспалениях (гайморит/тонзиллит/отит)	воспаление в ЛОР-органах;Комплекс при ЛОР-воспалениях (гайморит/тонзиллит/отит);Активатор клеток	M015-00;F001-02;F028-00;F031-00;EU-N000021-24;D014	Активатор клеток; Элексир Фохоу, Линчжи, Чай Лювей, БЭМ-лазер, очки	воспаление в ЛОР-органах	положительные отзывы преимущественно субъективные	базовый набор "на всё", применяется почти при любой ЛОР-жалобе	нет единого протокола, нет данных о совместимости всех компонентов	component_list_with_totals	TRUE	76	RAW=BUNDLE-0005; RAWCHAT-17-LOR
whieda	bundle_raw_0006	Комплексный протокол снижения веса/детокса	хочу похудеть/детокс с помощью продукции;Комплексный протокол снижения веса/детокса;Сауна БА-ГУА	M014-00;F031-00;F036-00;F007-00	Сауна БА-ГУА; Чай Лювэй, Спирулина, Коэнзим Q10, Кальций, водородная вода	хочу похудеть/детокс с помощью продукции	снижение веса, улучшение самочувствия	сауна усиливает потоотделение, БАДы поддерживают минеральный баланс и метаболизм	нет единого протокола, дозировки различаются у разных партнёров	component_list_with_totals	TRUE	75	RAW=BUNDLE-0006; RAWCHAT-26-SAUNA
whieda	bundle_raw_0007	Порядок совмещения приборов в один день	можно ли сауну с БЭМ/активатором в один день;Порядок совмещения приборов в один день;Сауна БА-ГУА	M014-00;EU-N000021-24;M015-00;EU-N000024-24	Сауна БА-ГУА; БЭМ, Активатор, Вентун	можно ли сауну с БЭМ/активатором в один день	комплексное оздоровление	заявлена официальная рекомендация 'доктора Газнели': можно сауна-БЭМ, сауна-активатор, активатор-БЭМ; но с Вентуном в тот же день ничего больше нельзя	не указано в источнике, кто именно 'доктор Газнели' и является ли это официальным документом	component_list_with_totals	TRUE	74	RAW=BUNDLE-0007; RAWCHAT-26-SAUNA
whieda	bundle_raw_0008	Глаукома-комплекс	глаукома с сохранением назначенного лечения;Глаукома-комплекс;Графеновые очки	D014;M015-00;F028-00	Графеновые очки; Активатор клеток, Линчжи	глаукома с сохранением назначенного лечения	смешанные	поддержка при обязательном сохранении капель от врача	капли не отменять — единственная чётко зафиксированная официальная оговорка в этой теме	component_list_with_totals	TRUE	73	RAW=BUNDLE-0008; RAWCHAT-13-ZRENIE
whieda	bundle_raw_0009	Базовая схема Регуляция-Очищение-Восстановление (официальная)	общий запрос на оздоровление / детокс;Базовая схема Регуляция-Очищение-Восстановление (официальная);Эликсир Фохоу	F001-02;F028-00;F024-00;F031-00;F011-02;F036-00;F003-02	Эликсир Фохоу; Линчжи, Сюэчинфу, Чай Лювэй, Паста Роза, Спирулина, Эликсир Саньцин, витаминно-минеральный комплекс	общий запрос на оздоровление / детокс	общее оздоровление	3-месячная последовательная программа: 1 мес регуляция, 2 мес очищение, 3 мес восстановление	официальная схема, но неофициально распространяется только в чате, не всегда единообразно пересказывается	component_list_with_totals	TRUE	72	RAW=BUNDLE-0009; RAWCHAT-20-OZDOROVLENIE
whieda	bundle_raw_0010	Схема "Реанимация" (неофициальная, ОСУЖДЕНА руководством)	тяжёлые/терминальные диагнозы;Схема "Реанимация" (неофициальная, ОСУЖДЕНА руководством);Эликсир Фохоу	F001-02;F028-00	Эликсир Фохоу; Линчжи, различные добавки	тяжёлые/терминальные диагнозы	неопределённый, целители-энтузиасты обещают многое	интенсивная неофициальная многомесячная схема для тяжёлых случаев	противоречит официальной позиции компании — не 'нет данных', а прямой запрет	component_list_with_totals	TRUE	71	RAW=BUNDLE-0010; RAWCHAT-20-OZDOROVLENIE
whieda	bundle_raw_0014	Регуляция-Очистка-Восстановление (базовая 3-этапная система)	общий запрос о системном оздоровлении;Регуляция-Очистка-Восстановление (базовая 3-этапная система);Эликсир Фохоу + Линчжи (регуляция)	F001-02;F028-00;F003-02;F031-00;F011-02;F024-00;F038-00;F002-02;F007-00;F036-00	Эликсир Фохоу + Линчжи (регуляция); Саньцин, Чай Лювей, Детокс Идеал-1, Паста Роза, Сюэчинфу (очистка); Соевый пептид, Эликсир 3 Драгоценности, Кальций-Железо-Цинк-Селен, Спирулина, Q10, Витамин D3 (восстановление)	общий запрос о системном оздоровлении	системное улучшение самочувствия по словам источника	три последовательных этапа традиционной китайской медицины: сначала баланс, потом вывод токсинов, потом насыщение	нет единой официальной версии — минимум 4 разных варианта состава этапов от разных авторов	component_list_with_totals	TRUE	70	RAW=BUNDLE-0014; RAWCHAT-28-SPRAVOCHNIK; строки 291-312 и др.
whieda	bundle_raw_0015	Схема РЕАНИМАЦИЯ (тяжёлые/онкологические/хронические/аутоиммунные случаи)	запрос о помощи при тяжёлом диагнозе;Схема РЕАНИМАЦИЯ (тяжёлые/онкологические/хронические/аутоиммунные случаи);Эликсир Саньцин + Эликсир Фохоу	F003-02;F001-02;F028-00;F007-00;F036-00;F031-00;D013;T003;EU-N000021-24	Эликсир Саньцин + Эликсир Фохоу; Линчжи, Кальций/Спирулина, Чай Лювей 2л/день, стельки/прокладки/пояса, БЭМ	запрос о помощи при тяжёлом диагнозе	заявлено "результаты" авторами, официально опровергнуто	неофициальная интенсивная многомесячная схема, распространяется повторно несколькими партнёрами	официально запрещена/осуждена медсоветником компании — не должна попадать в автоматические ответы	component_list_with_totals	TRUE	69	RAW=BUNDLE-0015; RAWCHAT-28-SPRAVOCHNIK; строки 1049-1087, 1518-1563, 2369
whieda	bundle_raw_0016	Официальная базовая схема Регуляция-Очистка-Восстановление (версия от 12.12.2025, с точными дозами по дням)	официальный релиз обновлённой схемы;Официальная базовая схема Регуляция-Очистка-Восстановление (версия от 12.12.2025, с точными дозами по дням);Эликсир Фохоу (эскалация 5мл->1 флакон за 9 дней) + Линчжи	F001-02;F028-00;F024-00;F031-00;F011-02;F036-00;F003-02;F007-00;F002-02	Эликсир Фохоу (эскалация 5мл->1 флакон за 9 дней) + Линчжи; Сюэчинфу (эскалация по неделям), Чай Лювой, Паста Роза, Спирулина, Саньцин, далее Кальций/Цинк/Селен/Железо + Эликсир 3 Драгоценности	официальный релиз обновлённой схемы	не заявлен явно, схема представлена как "базовая версия"	официальная пошаговая схема с точными интервалами приёма пищи и точными дозами по дням/неделям, опубликована администратором темы	не указаны явно противопоказания в этой версии	component_list_with_totals	TRUE	68	RAW=BUNDLE-0016; RAWCHAT-28-SPRAVOCHNIK; строки 2296-2345
whieda	bundle_raw_0017	Гайморит / синусит (общий комплекс)	чем лечить гайморит;Гайморит / синусит (общий комплекс);Активатор клеток	M015-00;EU-N000021-24;F028-00;F001-02;F031-00;F038-00;F036-00	Активатор клеток; БЭМ-лазер, Линчжи, Эликсир Фохоу/красный, Чай Лювей, Пептиды, Спирулина, чипы из прокладок	чем лечить гайморит	не подтверждён, разброс мнений	устройства + иммуномодуляторы + вывод токсинов, часто вместе с промыванием/антибиотиками от врача	при гнойном процессе (гной в пазухах) отдельно указывается не медлить с врачом	component_list_with_totals	TRUE	67	RAW=BUNDLE-0017; RAWCHAT-17-LOR; строки 4356-4375
whieda	bundle_raw_0018	Аденоиды у ребёнка (альтернатива операции)	как избежать операции по аденоидам;Аденоиды у ребёнка (альтернатива операции);БЭМ-лазер	EU-N000021-24;M015-00;F028-00;F036-00	БЭМ-лазер; Активатор клеток, Линчжи, Спирулина	как избежать операции по аденоидам	смешанный — есть и улучшения, и отсутствие результата в источнике	лазер в нос курсом + линчжи для иммунитета, у части родителей — попытка отложить операцию	операция всё равно рекомендуется, если аденоиды большой степени или исключена онкология	component_list_with_totals	TRUE	66	RAW=BUNDLE-0018; RAWCHAT-17-LOR; строка 2103
whieda	bundle_raw_0019	Тугоухость / шум в ушах (общий набор)	что попить при тугоухости и шуме в ушах;Тугоухость / шум в ушах (общий набор);Линчжи	F028-00;F031-00;F024-00;D014;EU-N000024-24	Линчжи; Чай Лювей, Сюченфу, Очки, Вентун	что попить при тугоухости и шуме в ушах	неопределённый, отзывов о полном восстановлении единицы и с оговорками по датам	постепенное наращивание дозы Линчжи + сопутствующие для кровообращения/иммунитета	нет единого протокола дозировки, разные советчики называют разные схемы	component_list_with_totals	TRUE	65	RAW=BUNDLE-0019; RAWCHAT-17-LOR; строка 1420
whieda	bundle_raw_0020	Первый этап (Регуляция) — базовый набор для здоровья глаз	общий запрос по здоровью глаз/организма;Первый этап (Регуляция) — базовый набор для здоровья глаз;Элексир Фохоу	F001-02;F028-00;F031-00;D017-00;EU-N000030-25	Элексир Фохоу; Капсулы Линчжи, Чай Лювэй, водородная вода (через водородный стержень), Зубная паста с полынью	общий запрос по здоровью глаз/организма	общее оздоровление, не специфично для зрения	предложено партнёром (Алексей Рябов) как обязательный минимум первого этапа независимо от конкретного диагноза	нет клинического обоснования именно такого набора, представлено как общее мнение партнёра	component_list_with_totals	TRUE	64	RAW=BUNDLE-0020; RAWCHAT-13-ZRENIE; строки 2229-2237
whieda	bundle_raw_0021	Очки + Активатор + Стельки для поддержки зрения	вопрос про конкретный диагноз глаз (глаукома/катаракта/атрофия зрительного нерва);Очки + Активатор + Стельки для поддержки зрения;Графеновые очки	D014;M015-00;D013	Графеновые очки; Активатор клеток, Коррекционные стельки	вопрос про конкретный диагноз глаз (глаукома/катаракта/атрофия зрительного нерва)	общий эффект не детализирован, кроме общих фраз о 'комплексном воздействии'	часто рекомендуется как тройка для 'комплексного' воздействия на зрение	нет клинического обоснования связи стелек с состоянием глаз	component_list_with_totals	TRUE	63	RAW=BUNDLE-0021; RAWCHAT-13-ZRENIE; строки 300-4542 (множественные)
whieda	bundle_raw_0022	Официальный протокол совместимости приборов (д-р Газнели)	какие приборы можно сочетать в один день;Официальный протокол совместимости приборов (д-р Газнели);Активатор клеток	M015-00;M014-00;EU-N000021-24;EU-N000024-24	Активатор клеток; Сауна БА-ГУА, БЭМ, Вентун	какие приборы можно сочетать в один день	не указан явно, обобщённая рекомендация по самочувствию	Официальная рекомендация врача компании по недопустимым и допустимым сочетаниям процедур в один день	Вентун требует отдельного дня без других приборов	component_list_with_totals	TRUE	62	RAW=BUNDLE-0022; RAWCHAT-26-SAUNA; строки 2979-2998
whieda	bundle_raw_0023	Сауна + Вентун для лимфодренажа	сауна не потеет / нужно 'пробить' лимфосистему;Сауна + Вентун для лимфодренажа;Сауна БА-ГУА	M014-00;EU-N000024-24	Сауна БА-ГУА; Вентун	сауна не потеет / нужно 'пробить' лимфосистему	заявлено начало потоотделения после чередования, включая анекдот об онкологии	Партнёр предполагает, что отсутствие потоотделения в сауне связано с 'заблокированной' лимфосистемой, которую 'пробивает' Вентун	нет клинического обоснования термина 'заблокированная лимфосистема'	component_list_with_totals	TRUE	61	RAW=BUNDLE-0023; RAWCHAT-26-SAUNA; строки 3689-3696
whieda	bundle_raw_0027	Общее укрепление зубов и дёсен	укрепление шатающихся зубов / общее оздоровление полости рта;Общее укрепление зубов и дёсен;Коррекционные стельки	D013;M015-00;EU-N000024-24	Коррекционные стельки; Активатор клеток, Вентун	укрепление шатающихся зубов / общее оздоровление полости рта	субъективное укрепление зубов по словам автора	через 'восстановление меридианов' и общего состояния организма (неофициальная логика)	эзотерическое обоснование не медицинское, требует нейтральной переформулировки	component_list_with_totals	TRUE	60	RAW=BUNDLE-0027; RAWCHAT-14-ZUBY; строки 1027-1037
whieda	bundle_raw_0028	Чип из прокладки на флюс/отёк/абсцесс	флюс после лечения зуба / отёк щеки после импланта;Чип из прокладки на флюс/отёк/абсцесс;Чип из прокладки Whieda	M015-00	Чип из прокладки Whieda; Активатор клеток (дополнительно)	флюс после лечения зуба / отёк щеки после импланта	по словам авторов — быстрое уменьшение отёка	местное прикладывание смоченного чипа к очагу воспаления	нет клинических данных о безопасности/эффективности при флюсе (гнойном процессе)	component_list_with_totals	TRUE	59	RAW=BUNDLE-0028; RAWCHAT-14-ZUBY; строка 2073
whieda	bundle_raw_0029	Базовая программа Регуляция-Очищение-Восстановление	общий запрос на оздоровление/детокс;Базовая программа Регуляция-Очищение-Восстановление;Эликсир Фохоу + Линчжи (мес.1)	F001-02;F028-00;F024-00;F031-00;F011-02;F036-00;F003-02;F002-02	Эликсир Фохоу + Линчжи (мес.1); Сюэчинфу+Чай Лювэй+Паста Роза+Спирулина+Саньцин (мес.2), витамины+Три драгоценности (мес.3)	общий запрос на оздоровление/детокс	общее улучшение состояния, детокс	3-месячный поэтапный протокол с точными дозами по дням	-	component_list_with_totals	TRUE	58	RAW=BUNDLE-0029; RAWCHAT-20-OZDOROVLENIE; строки 4259-4308
whieda	bundle_raw_0030	Схема 'Реанимация' (неофициальная, тяжёлые/онко случаи)	онкология, тяжёлые хронические состояния;Схема 'Реанимация' (неофициальная, тяжёлые/онко случаи);Эликсиры (состав не детализирован)		Эликсиры (состав не детализирован)	онкология, тяжёлые хронические состояния	-	распространяется через поиск по чатам, не официальный документ	-	component_list_with_totals	TRUE	57	RAW=BUNDLE-0030; RAWCHAT-20-OZDOROVLENIE; строки 665-677, 3891-3893
whieda	bundle_raw_0031	Титановые импланты и Активатор	совместимость Активатора с металлическими имплантами;Титановые импланты и Активатор;Активатор клеток	M015-00	Активатор клеток	совместимость Активатора с металлическими имплантами	можно применять вне зоны импланта	обходить зону импланта, в остальном разрешено — консистентно дважды в источнике	обходить зону импланта	component_list_with_totals	TRUE	56	RAW=BUNDLE-0031; RAWCHAT-20-OZDOROVLENIE; строки 1227-1234, 4583-4584
