fact_id	topic	audience_layer	question_examples	fact_text	answer_scope	source_kind	source_ref	source_locator	provenance_status	confidence	owner_status	notes
CK-OV-001	company_overview	platform_internal	кто ты | что умеешь | чем поможешь	Привет! Я советник WHIEDA. Могу быстро показать товар с фото, ценой и видео, сравнить приборы, ответить по PV, повторке и старту. Напишите, например: «активатор», «цена Вэнтуна» или «сравни Активатор и PRO».	advisor_scope	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/capability_responses.tsv	row service-greeting / answer_text	verified	high	accepted	OWNER_APPROVED_LOCKED
CK-OV-002	company_overview	platform_internal	что такое WHIEDA | что вы строите	WHIEDA — не справочник с полем ввода и не бот, который пытается угадать любой вопрос человека.	product_vision	internal_doc	WHIEDA_PRODUCT_DIRECTION.md	line 9	verified	high	accepted	
CK-OV-003	company_overview	platform_internal	как устроен путь партнёра | откуда приходят люди	WHIEDA строит единую систему роста партнёрской структуры: контент → сайт → советник → контакт → Telegram → материалы → наставник.	product_vision	internal_doc	WHIEDA_PRODUCT_DIRECTION.md	line 11	verified	high	accepted	
CK-OV-004	company_overview	platform_internal	что советник должен знать о компании	Сценарий «Компания» в контракте опыта: история, люди, лидеры, производство, география, политика бренда — источник: утверждённый company layer (ещё не подключён к runtime).	advisor_contract	internal_doc	backend/platform-api/docs/WHIEDA_ADVISOR_EXPERIENCE_CONTRACT_V1_2026-08-12.md	line 73	verified	high	accepted	company layer planned; not live in Telegram yet
CK-LD-005	leadership	partner_network	кто лидер структуры general | наставник general	Виктор Хрипко — leader структуры general, Telegram @SunRaySword, status active	structure_leadership	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/structure_owners.tsv	row structure_code=general (tsv line 2)	verified	high	accepted	
CK-LD-006	leadership	partner_network	кто лидер структуры elena | наставник elena	Елена Дацкевич — leader структуры elena, Telegram @OnlineElena, status prepared_not_routed	structure_leadership	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/structure_owners.tsv	row structure_code=elena (tsv line 3)	verified	high	accepted	
CK-LD-007	leadership	platform_internal	кто владелец whieda | кто владелец платформы	Владелец платформы и продающего языка: Виктор Хрипко (partners_ref nnm).	platform_leadership	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=nnm (tsv line 2)	verified	high	accepted	Согласовано с WHIEDA_PRODUCT_DIRECTION.md (Виктор Хрипко)
CK-HIS-008	history	company_public	когда основана WHIEDA | история компании | сколько лет компании		history	owner_gap	qa/company_knowledge/COMPANY_INFORMATION_REQUEST_FOR_OWNER.md	section history	missing	low	needs_owner_input	Нет строки в structured snapshot и нет owner-approved history layer
CK-BUS-009	partner_business	partner_network	что такое pv | pv это деньги | pv деньги | баллы это деньги | что значат pv	PV - это объём или баллы маркетинг-плана. Цена товара и PV могут быть связаны, но это не одно и то же. Точные PV по товару лучше смотреть в актуальном прайсе.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-01 / answer_text (tsv line 2)	verified	high	accepted	Не называть PV деньгами, доходом или гарантией бонуса.
CK-BUS-010	partner_business	partner_network	кэшбэк вывести | кешбек вывести | кэшбек это деньги | можно снять кэшбэк	В материалах WHIEDA кэшбэк первой покупки описан как внутренний ресурс для части повторных покупок, а не как наличные на вывод. Конкретные условия и цифры нужно сверять по действующему плану.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-02 / answer_text (tsv line 3)	verified	high	accepted	Не обещать вывод денег или фиксированный размер кэшбэка.
